file,apartment,combination,ratio,rooms_number,hull_area,total_area
21004.json,Apartment 1,bathroom,0.047305339,13,50.67645000000001,14.383600000000008
21004.json,Apartment 2,bathroom,0.16666666666666666,13,7.942199999999996,7.942199999999996
12009.json,Apartment 1,bathroom,0.23730633532750411,7,30.20470000000001,21.503299999999996
12009.json,Apartment 1,corridor,0.3333333333333333,7,54.385149999999996,54.385149999999996
12009.json,Apartment 1,"bathroom,corridor",0.4968124532326201,7,76.37535000000001,75.88844999999999
12001.json,Apartment 1,bathroom,0.13789894257152488,10,9.348149999999999,5.80095
12001.json,Apartment 1,corridor,0.2222222222222222,10,14.173750000000009,14.173750000000009
12001.json,Apartment 1,"bathroom,corridor",0.18538886420351783,10,30.784250000000007,19.97470000000001
Reference02.json,Apartment 1,bathroom,0.16520709874970985,13,11.778600000000006,11.675450000000001
Reference02.json,Apartment 1,corridor,0.067178873,13,20.070050000000002,8.0897
Reference02.json,Apartment 1,"bathroom,corridor",0.19668675148397113,13,20.09809999999999,19.76514999999999
Reference02.json,Apartment 2,bathroom,0.16666666666666666,13,8.499150000000006,8.499150000000006
Reference02.json,Apartment 2,corridor,0.16666666666666666,13,4.468050000000003,4.468050000000003
Reference02.json,Apartment 2,kitchen,0.16666666666666666,13,6.983299999999998,6.983299999999998
Reference02.json,Apartment 2,"bathroom,corridor",0.1986260138317673,13,13.056899999999997,12.967200000000009
Reference02.json,Apartment 2,"bathroom,kitchen",0.19783476766398958,13,15.651900000000012,15.482450000000004
Reference02.json,Apartment 2,"corridor,kitchen",0.11243210073514075,13,20.37025,11.451350000000001
Reference02.json,Apartment 2,"bathroom,corridor,kitchen",0.2448484922865454,13,20.37025,19.950500000000005
18003.json,Apartment 1,bathroom,0.2487265364337926,9,9.815749999999994,9.765749999999993
18003.json,Apartment 1,corridor,0.25,9,18.420949999999998,18.420949999999998
18003.json,Apartment 1,"bathroom,corridor",0.26996699006158054,9,34.80264999999999,28.18669999999999
14007.json,Apartment 1,bathroom,0.20977285204955703,7,30.235799999999976,19.027949999999976
11001.json,Apartment 1,bathroom,0.10853257277844698,8,24.3832,9.2623
11001.json,Apartment 1,corridor,0.2857142857142857,8,11.287999999999995,11.287999999999995
11001.json,Apartment 1,"bathroom,corridor",0.2723806115551313,8,30.1788,20.550299999999993
12005.json,Apartment 1,bathroom,0.3333333333333333,7,16.107,16.107
14012.json,Apartment 1,bathroom,0.16619339426252383,9,12.369549999999995,8.222950000000003
14012.json,Apartment 1,corridor,0.25,9,5.569200000000001,5.569200000000001
14012.json,Apartment 1,"bathroom,corridor",0.19525818834593683,9,23.545149999999996,13.792150000000003
Reference01.json,Apartment 1,bathroom,0.14560754813209234,12,19.322300000000002,15.474100000000004
Reference01.json,Apartment 1,corridor,0.18181818181818182,12,3.848200000000001,3.848200000000001
Reference01.json,Apartment 1,"bathroom,corridor",0.22222222222222227,12,19.322300000000002,19.322300000000006
Reference01.json,Apartment 2,bathroom,0.12083289543956273,12,23.269100000000016,15.46420000000002
Reference01.json,Apartment 2,corridor,0.18181818181818182,12,7.7425000000000095,7.7425000000000095
Reference01.json,Apartment 2,"bathroom,corridor",0.22162629600820175,12,23.269100000000016,23.20670000000003
